word,form,definition,korean,example,related,status
abate,v.,"subside; decrease, lessen","감소시키다, 줄이다, 감하다, 완화하다","Rather than leaving immediately, they waited for the storm to abate.",n. abatement,A
abbreviate,v.,shorten,(어구를) 단축하다,"Because we were running out of time, the lecturer had to abbreviate her speech.",.,
abdicate,v.,renounce; give up,"(왕위, 권한, 의무, 요구 등을) 포기하다, 버리다","When Edward VIII abdicated the British throne to marry the woman he loved, he surprised the entire world.",.,
abduction,n.,kidnapping,"유괴, 납치",The movie Ransom describes the attempts to rescue a multimillionaire's son after the child's abduction by kidnappers.,v. abduct,
aberrant,adj.,abnormal or deviant,"엉뚱한, (행동 등이) 정도를 벗어난, (생물 돌연변이) 비정상적인","Given the aberrant nature of the data, we doubted the validity of the entire experiment.","n. aberrance, aberrancy",
abet,v.,"aid, usually in doing something wrong; encourage","(범죄, 나쁜짓 등을) 부추기다",She was unwilling to abet him in the swindle he had planned.,.,
abhor,v.,detest; hate,질색(혐오)하다,She abhorred all forms of bigotry.,n. abhorrence,
abject,adj.,wretched; lacking pride,"굴욕적인, 절망적인, 비참한, 극빈","On the streets of New York the homeless live in abject poverty ,huddling in doorways to find a shelter from the wind.",.,A
abolish,v.,cancel; put an end to,"(법률,제도,관습 등을) 폐지",The president of the college refused to abolish the physical education requirement.,n. abolition,
abominable,adj.,detestable; extremely unpleasant; very bad,"가증스러운, 진저리나는","Mary liked John until she learned he was dating Susan; then she called him an abominable young man, with abominable taste in women.",.,
aboriginal,adj.,being the first of its kind in a region; primitive; native,원주민의,Her studies of the primitive art forms of the aboriginal Indians were widely reported in the scientific journals.,n. pl. aborigines,
abortive,adj.,unsuccessful; fruitless,"허사의, 성공하지 못한, 실패로 돌아간","Attacked by armed troops, the Chinese students had to abandon their abortive attempt to democratize Beijing peacefully.",v. abort,
abrade,v.,wear away by friction; scrape; erode,"...을 마멸시키다, (피부 등을) 스쳐 벗기다, (바위 등을) 침식시키다","Because the sharp rocks had abraded the skin on her legs, she dabbed iodine on the scrapes and abrasions.",.,A
abrasive,adj.,rubbing away; tending to grind down,"1. 벗겨지는, 쓸리는, 연마의
2. (목소리 등이) 신경질 나게 하는","Just as abrasive cleaning powders can wear away a shiny finish, abrasive remarks can wear away a listener's patience.",v. abrade,
abridge,v.,condense or shorten,"단축하다, <문장.이야기 등을> 요약[축약]하다","Because the publishers felt the public wanted a shorter version of War and Peace, they proceeded to abridge the novel.",.,
abscond,v.,depart secretly and hide,"종적을 감추다, 몰래 도주","The teller who absconded with the bonds went uncaptured until someone recognized him from his photograph on ""America's Most Wanted.""",.,
absolute,adj.,"1. complete; totally unlimited
2. certain","완전한, 무제한의, 절대적인, 독립한","Although the King of Siam was an absolute monarch, he did not want to behead his unfaithful wife without absolute evidence of her infidelity.",.,
absolve,v.,pardon (an offense),"[특히 법률] <남을> [벌.약속.의무 등으로부터] 면제하다, 면책하다, 해제하다",The father confessor absolved him of his sins.,n. absolution,
absorb,v.,"1. assimilate or incorporate;
2. suck or drink up;
3. wholly engage",흡수하다,"During the nineteenth century, America absorbed hordes of immigrants, turning them into productive citizens. Can Huggies diapers absorb more liquid than Pampers can? This question does not absorb me; instead, it bores me.",n. absorption,
abstain,v.,refrain; hold oneself back voluntarily from an action or practice,"(행위.쾌락을) 삼가다, 자제하다, 절제하다","After considering the effect of alcohol on his athletic performance, he decided to abstain from drinking while he trained for the race.",n. abstinence,
abstemious,adj.,sparing in eating and drinking; temperate,"절제하는, 금욕적인","Concerned whether her vegetarian son's abstemious diet provided him with sufficient protein, the worried mother pressed food on him.",.,A
abstinence,n.,restraint from eating or drinking,"자제, 단식",The doctor recommended total abstinence from salted foods.,v. abstain,A
abstract,adj.,"1. theoretical; not concrete
2. non-representational",추상적인,"To him, hunger was an abstract concept; he had never missed a meal.",.,
abstruse,adj.,obscure; profound; difficult to understand,"난해한, 파악하기 어려운","Baffled by the abstruse philosophical texts assigned in class, Dave asked Lexy to explain Kant's Critique of Pure Reason.",.,R
abundant,adj.,plentiful; possessing riches or resources,"풍부한, 남아 돌아가는","At his immigration interview, Ivan listed his abundant reasons for coming to America: the hope of religious freedom, the prospect of employment, the promise of a more abundant life.",.,
abusive,adj.,coarsely insulting; physically harmful,"독설의, (특히 육체적으로 학대하는)",An abusive parent damages a child both mentally and physically.,.,
