word,form,definition,korean,example,related,status
anomaly,n.,irregularity,예외,A bird that cannot fly is an anomaly.,.,
anonymity,n.,state of being nameless; anonymousness,"익명, 무명",The donor of the gift asked college not to mention him by name; the dean readily agreed to respect his anonymity.,.,
anonymous,adj.,having no name,"익명의, 작자 불명의",She tried to ascertain the identity of the writer of the anonymous letter.,.,
antagonism,n.,hostility; active resistance.,"적의, 적대, 대립",Barry showed his antagonism toward his new stepmother by ignoring her whenever she tried talking to him.,adj. antagonistic,
antecede,v.,precede,앞서다,The invention of the radiotelegraph antecede the development of television by a quarter of a century.,.,
anthology,n.,book of literary selections by various authors,"시집, 문집",Mercedes Lackey just came out with her latest anthology of tales of Valdemar.,v. anthologize,
anthropoid,adj. n.,manlike,유인원,The gorilla is the strongest of the anthopoid animals.,.,
anthropologist,n.,a student of the history and science of mankind,인류학자,Anthropologists have discovered several relics of prehistoric man in this area.,.,
anticlimax,n.,letdown in thought or emotion,용두사미,"After the fine performance in the first act, the rest of the play was a anticlimax.",adj. anticlimatic,
antidote,n.,medicine to counteract a poison or disease,해독제,"When Marge's child accidentally swallowed some cleaning fluid, the local poison control hotline instructed Marge how to administer the antidote.",.,
antipathy,n.,aversion; dislike,"반감, 혐오, 질색","Tom's extreme antipathy for disputes keeps him from getting into arguments with his temperamental wife. Noise in any form is antipathetic to him. Among his other antipathies are honking cars, boom boxes, and heavy metal rock.",.,
antiquated,adj.,old-fashioned; obsolete,구식의,Philip had grown so accustomed to editing his papers on word processors that he thought typewriters were too antiquated for him to use.,.,
antiseptic,n. adj.,substance that prevents infection,"소독제, 소독된","It is advisable to apply an antiseptic to any wound, no matter how slight or insignificant.",.,
antithesis,n.,contrast; direct opposite of or to,대조법,Stagnation is the antithesis of growth.,.,
apathy,n.,lack of caring; indifference,"냉담, 무감정","A firm believer in democratic government, she could not understand the apathy of people who never bothered to vote.",adj. apathetic,
apocalyptic,adj.,prophetic; pertaining to revelations,묵시적인,The crowd jeered at the street preacher's apocalyptic predictions of doom. The Apocalypse or Book of Revelations of Saint John prophesies the end of the world as we know it and foretells marvels and prodigies that signal the coming doom.,.,
apocryphal,adj.,untrue; made up,"미심쩍은, 가짜의","To impress his friends, Tom invented apocryphal tales of his adventures in the big city.",.,
apolitical,adj.,having an aversion or lack of concern for political affairs,"정치에 관심없는
",It was hard to remain apolitical during recent presidential election campaign; even people who generally ignored party politics wound up taking partisan stands.,.,
appall,v.,dismay; shock,"오싹하게 하다, 놀라게 하다",We were appalled by the horrifying conditions in the city's jails.,.,
apparatus,n.,equipment,기구,Firefighters use specialized apparatus to fight fires.,.,
appease,v.,"1. pacify or sooth
2. relieve","달래다, 진정시키다","Tom and Jody tried to appease the crying baby by offering him one toy after antoher, but he would not calm down until they appeased his hunger by giving him a bottle.",.,
application,n.,"1. request
2. act of putting something to use
3. diligent attention
4. relevance",신청; 적용; 전념,"Jill submitted her scholarship application to the financial aid office. Martha's research project is purely academic; it has no practical application. Pleased with how well Tom had whitewashed the fence, Aunt Polly praised him for his application to the task. Unfortunately, John's experience in book publishing had litte or no application to the e-publishing industry.",.,
apposite,adj.,appropriate; fitting,적절한,"He was always able to find the apposite phrase, the correct expression for every occastion.",.,
appraise,v.,estimate value of,(품질.치수.중량 등을) (공적으로) 평가하다,It is difficult to appraise the value of old paintings; it is easier to call them priceless.,n. appraisal,
