word,form,definition,korean,example,related,status
artifact,n.,"object made by human being, either handmade or mass-produced",인공물,Archaeologists debated the significance of the artifacts discovered in the ruins of Asia Minor but came to no conclusion about the culture they represented.,.,
artifice,n.,deception; trickery,교묘한 책략; 계략,The Trojan War proved to the Greeks that cunning and artifice were often more effective than military might.,.,
artisan,n.,"manually skilled worker; craftsman, as opposed to artist",장인,"A noted artisan, Arturo was known for the fine craftsmanship of his inlaid cabinets.",.,G
artless,adj.,without guile; open and honest,"소박한, 꾸밈 없는","Sophisticated and cynical, Jack could not believe Jill was as artless and naive as she appeared to be.",.,
ascendancy,n.,controlling influence; domination,우월성,Leaders of religious cults maintain ascendancy over their followers by methods that can verge on brainwashing.,.,
ascertain,v.,find out for certain,명백히 하다,Please ascertain her present address.,.,
ascetic,adj. n.,practicing self-denial; austere,고행자; 금욕주의자,"The wealthy, self-indulgent young man felt oddly drawn to the strict, ascetic life led by members of some monastic orders.",.,
asinine,adj.,stupid,무식한; 우둔한,"""What an asinine comment!"" said Bob contemptuously. ""I've never heard such a stupid remark.""",.,
aspire,v.,seek to attain; long for,열망하다,"Because he aspired to a career in professional sports, Philip enrolled in a graduate program in sports management.",n. aspiration,
assail,v.,assault,"공격하다, 괴롭히다, 맹렬히 공격하다",He was assailed with questions after his lecture.,.,A
assent,v.,agree; accept,동의,It gives me great pleasure to assent to your request.,.,
assertion,n.,confident statement; demand for other people's acceptance or respect,"주장, 단언",Malcom made the assertion that his brother Reece always acted like a wimp. Reece's lack of self-assertion made him a target for every bully in town.,v. assert,
assessment,n.,evaluation; judgment,평가,Your high school record plays an important part in the admission committee's assessment of you as an applicant.,.,A
assiduous,adj.,diligent,부지런한,"He was assiduous, working at this taks for weeks before he felt satisfied with his results.",n. assiduity,
assimilate,v.,absorb; cause to become homogeneous,동화하다,"the manner in which the United States was able to assmiliate the hordes of immigrants during the nineteenth and early twentieth centuries should be a source of pride to Americans. The immigrants eagerly assimilated new ideas and customs; they soaked them up, the way plants soak up water.",.,
assuage,v.,"1. ease or lessen (pain)
2. satisfy (hunger)
3. soothe (anger)","달래다, 완화하다, 만족시키다","Jilted by Jane, Dick tried to assuage his heartache by indulging in ice cream. One gallon later, he had assuaged his appetite but not his grief.",.,
assumption,n.,"1. something taken for granted
2. taking over or taking possession of","추정; (책임.임무 등을) 떠맡기, (권리 등을) 자기 것으로 하기",The young princess made the foolish assumption that the regent would not object to her assumption of power.,.,
assurance,n.,"1. promise or pledge
2. certaintly; self-confidence","장담; 단언, 확언","When Guthrie gave Guinness his assurance that rehearsals were going well, he spoke with such assurance that Guinness felt relieved.",v. assure,
astronomical,adj.,enormously large or extensive,천문학적인,The government seems willing to spend astronomical sums on weapons development.,.,
astute,adj.,wise; shrewd; keen,통찰력 있는; 기민한; 날카로운,"John Jacob Astor made astute investments in land, shrewdly purchasing valuable plots throughout New York City.",.,A
asylum,n.,place of refuge or shelter; protection,보호 시설,The refugees sought asylum from religious persecution in a new land.,.,
asymmetric,adj.,not identical on both sides of a dividing central line,비대칭,"Because on eyebrow was set markedly higher than the other, Willian's face had a particularly asymmetric appearance.",.,
atheistic,adj.,denying the existence of God,무신론자,His atheistic remarks shocked the religious worshippers.,.,A
atlas,n.,"bound volume of maps, charts, or tables",지도책,"Embarrassed at being unable to distinguish Slovenia from Slovakia, Gearge W. finally consulted an atlas.",.,
atone,v.,make amends for; pay for,"속죄하다, 보상하다",He knew no way in which he could atone for his brutal crime.,.,A
atrocity,n.,brutal deed,"극악무도, 잔학한","In times of war, many atrocities are committed by invading armies.",.,
atrophy,v. n.,waste away,위축. 감퇴,"After three months in a cast, your calf muscles are bound to atrophy; you'll need physical therapy to get back in shape.",.,
attain,v.,achieve or acoomplish; gain,달성하다,The scarecrow sought to attain one goal: he wished to obtain a brain.,.,
attentive,adj.,"1. alert and watchful
2. considerate; thoughtful",주의 깊은; 친절한,"Spellbound, the attentive audience watched the final game of the tennis match, never taking their eyes from the ball. A cold wind sprang up; Stan's attentive daughter slipped a sweater over his shoulders without distracting his attention from the game.",.,G
attenuate,v.,make thin; weaken,가늘게 하다,"By withdrawing their forces, the generals hoped to attenuate the enemy lines.",.,
attest,v.,"testify, bear witness",증명하다,"Having served as a member of the Grand Jury, I can attest that our system of indicting individuals is in need of improvement.",.,
attribute,v.,ascribe; explain,"설명, ...에 속하는 것으로 생각하다",I attribute her success in scinece to the encouragement she received from her parents.,.,A
attrition,n.,gradual decrease in numbers; reduction in the workforce without firing employees; wearing away of opposition by means of harassment,"마찰, 마멸, 점차적 감소","In the 1960s, urban churches suffered from attrition as members moved from the cities to the suburbs. Rather than fire staff members, church leaders followed a policy of attrition, allowing elderly workers to retire without replacing them.",.,
atypical,adj.,not normal,전형적이지 않은,"The child psychiatrist reassured Mrs. Keaton that playing doctor was not atypical behaviour for a child of young Alex's age. ""Yes,"" she replied, ""but not charging for house calls!""",.,
