word,form,definition,korean,example,related,status
blasé,adjective,unimpressed with or indifferent to something because one has experienced or seen it so often before.,,she was becoming quite blasé about the dangers,,
blasphemy,noun,the action or offence of speaking sacrilegiously about God or sacred things; profane talk.,,he was detained on charges of blasphemy,,
blatant,adjective,(of bad behaviour) done openly and unashamedly.,,blatant lies,,
bleak,adjective,(of an area of land) lacking vegetation and exposed to the elements.,,a bleak and barren moor,,
blight,verb,have a severely detrimental effect on.,,the scandal blighted the careers of several leading politicians,,
blithe,adjective,showing a casual and cheerful indifference considered to be callous or improper.,,a blithe disregard for the rules of the road,,
bluff,noun,an attempt to deceive someone into believing that one can or is going to do something.,,the offer was denounced as a bluff,,
blunder,noun,a stupid or careless mistake.,,"she stopped, finally aware of the terrible blunder she had made",,
blurt,verb,say (something) suddenly and without careful consideration.,,she blurted out the truth,,
bluster,verb,"talk in a loud, aggressive, or indignant way with little effect.",,"you threaten and bluster, but won't carry it through",,
bode,verb,be a portent of a particular outcome.,,their argument did not bode well for the future,,
bogus,adjective,not genuine or true (used in a disapproving manner when deception has been attempted).,,a bogus insurance claim,,
bohemian,noun,"a socially unconventional person, especially one who is involved in the arts.",,Warhol and the artists and bohemians he worked with in the 1960s,,
boisterous,adjective,"noisy, energetic, and cheerful.",,a group of boisterous lads,,
booming,adjective,having a period of great prosperity or rapid economic growth.,,the booming economy of the 1920s,,
boon,noun,a thing that is helpful or beneficial.,,the route will be a boon to many travellers,,
boorish,adjective,rough and bad-mannered; coarse.,,boorish behaviour,,
boundless,adjective,unlimited or immense.,,enthusiasts who devote boundless energy to their hobby,,
bountiful,adjective,large in quantity; abundant.,,the ocean provided a bountiful supply of fresh food,,
bourgeois,adjective,"belonging to or characteristic of the middle class, typically with reference to its perceived materialistic values or conventional attitudes.",,"a rich, bored, bourgeois family",,
boycott,verb,"withdraw from commercial or social relations with (a country, organization, or person) as a punishment or protest.",,we will boycott all banks which take part in the loans scheme,,
braggart,noun,a person who boasts about their achievements or possessions.,,braggart men,,
brandish,verb,"wave or flourish (something, especially a weapon) as a threat or in anger or excitement.",,a man leaped out brandishing a knife,,
bravado,noun,a bold manner or a show of boldness intended to impress or intimidate.,,he possesses none of the classic wheeler-dealer's casual bravado,,
brawn,noun,physical strength in contrast to intelligence.,,commando work required as much brain as brawn,,
brazen,adjective,bold and without shame.,,he went about his illegal business with a brazen assurance,,
breach,noun,"an act of breaking or failing to observe a law, agreement, or code of conduct.",,a breach of confidence,,
breadth,noun,the distance or measurement from side to side of something; width.,,the boat measured 27 feet in breadth,,
brevity,noun,concise and exact use of words in writing or speech.,,the staff will edit manuscripts with a view to brevity and clarity,,
brittle,adjective,hard but liable to break easily.,,her bones became fragile and brittle,,
browse,verb,survey goods for sale in a leisurely and casual way.,,he stopped to browse around a second-hand bookshop,,
brusque,adjective,abrupt or offhand in speech or manner.,,she could be brusque and impatient,,
buffet,noun,a meal consisting of several dishes from which guests serve themselves.,,a cold buffet lunch,,
bungle,verb,carry out (a task) clumsily or incompetently.,,he bungled his first attempt to manage a group of professional players,,
burgeon,verb,begin to grow or increase rapidly; flourish.,,"the city's suburbs have burgeoned, sprawling out from the centre",,
bustle,verb,move in an energetic and busy manner.,,people clutching clipboards bustled about,,
buttress,noun,a structure of stone or brick built against a wall to strengthen or support it.,,the cathedral's massive buttresses,,
cache,noun,a collection of items of the same type stored in a hidden or inaccessible place.,,an arms cache,,
